d_name,d_email,d_phone,d_funds_allocated,d_yearly_budget
Gastroenterology Center,gastroenterologycenter@example.com,+1-253-932-7928,174737,1676245
Emergency and Oncology Division,emergencyandoncologydivision@example.com,001-479-376-2718x3897,145113,533029
Ophthalmology and Hematology Unit,ophthalmologyandhematologyunit@example.com,490.832.2487,87844,804136
Psychiatry Department,psychiatrydepartment@example.com,789-751-5719,131721,1727983
Rehabilitation and Gastroenterology Unit,rehabilitationandgastroenterologyunit@example.com,(213)981-9715x65524,192375,1503768
Pediatrics and Oncology Clinic,pediatricsandoncologyclinic@example.com,001-611-978-6494x4043,97022,533372
Ophthalmology and Anesthesiology Department,ophthalmologyandanesthesiologydepartment@example.com,001-734-309-3245,53313,1663933
Pathology and Emergency Department,pathologyandemergencydepartment@example.com,868-417-2753x40748,103491,777159
Trauma Center,traumacenter@example.com,+1-339-508-0458,142181,1394949
Oncology Clinic,oncologyclinic@example.com,001-705-829-3174,50927,1378985
Gynecology and Surgery Center,gynecologyandsurgerycenter@example.com,001-831-321-8898x0641,148458,958780
Emergency and Surgery Clinic,emergencyandsurgeryclinic@example.com,489-745-5471x41509,184595,971103
Immunology and Neonatology Center,immunologyandneonatologycenter@example.com,846-875-6957x8974,165958,979822
Radiology and Hematology Division,radiologyandhematologydivision@example.com,854.431.6417,102076,1001755
Cardiology and Psychiatry Center,cardiologyandpsychiatrycenter@example.com,623-585-8042,101370,810034
Ophthalmology Center,ophthalmologycenter@example.com,832.789.0113,72936,1705302
Rehabilitation Center,rehabilitationcenter@example.com,660-619-5970,57764,1884125
Gynecology and Psychiatry Institute,gynecologyandpsychiatryinstitute@example.com,001-575-874-6279x98337,84257,1198279
Radiology Clinic,radiologyclinic@example.com,+1-745-403-8045,70806,658743
Dermatology and Neurology Center,dermatologyandneurologycenter@example.com,491-818-9313x568,113430,1068726
Rheumatology and Rehabilitation Institute,rheumatologyandrehabilitationinstitute@example.com,9544366009,90945,992492
Psychiatry Unit,psychiatryunit@example.com,001-897-210-0922x068,151715,1346182
Infectious Diseases and Cardiology Division,infectiousdiseasesandcardiologydivision@example.com,+1-544-598-6405,184012,622719
Ophthalmology and Urology Department,ophthalmologyandurologydepartment@example.com,001-638-257-4187x9345,59390,1344496
Emergency and Radiology Ward,emergencyandradiologyward@example.com,7803015227,140904,1380865
Infectious Diseases Center,infectiousdiseasescenter@example.com,8765267358,108875,1911354
Obstetrics and Rheumatology Institute,obstetricsandrheumatologyinstitute@example.com,001-548-939-3818x08612,129178,680917
Anesthesiology and Cardiology Division,anesthesiologyandcardiologydivision@example.com,212-932-3762,85513,1656328
Urology and Immunology Center,urologyandimmunologycenter@example.com,+1-846-518-1993x6099,65090,784249
Immunology Division,immunologydivision@example.com,5135946388,162413,1677234
Anesthesiology and Nephrology Center,anesthesiologyandnephrologycenter@example.com,001-726-479-5240x4893,199881,1560186
Hematology Division,hematologydivision@example.com,001-804-687-2111x532,51955,1605356
Oncology and Pulmonology Unit,oncologyandpulmonologyunit@example.com,227.897.9252,53360,1705806
Immunology and Urology Ward,immunologyandurologyward@example.com,+1-426-563-8617x510,112536,1383909
Rheumatology and Emergency Institute,rheumatologyandemergencyinstitute@example.com,(774)296-9216,136080,1673064
Obstetrics Center,obstetricscenter@example.com,307.865.3493,165438,1451605
Pulmonology and Psychiatry Ward,pulmonologyandpsychiatryward@example.com,(520)266-4242,97469,1061541
Trauma and Anesthesiology Clinic,traumaandanesthesiologyclinic@example.com,+1-602-661-6918x40485,175938,579935
Anesthesiology and Nephrology Institute,anesthesiologyandnephrologyinstitute@example.com,2494320584,88846,919853
Gastroenterology and Emergency Unit,gastroenterologyandemergencyunit@example.com,001-938-684-1346x265,197418,1111556
Dermatology and Infectious Diseases Clinic,dermatologyandinfectiousdiseasesclinic@example.com,(846)725-7311x40655,59504,1029323
Anesthesiology Center,anesthesiologycenter@example.com,001-880-448-0763x75836,142926,693383
Psychiatry Division,psychiatrydivision@example.com,258.324.1225x038,120848,1695199
Radiology and Ophthalmology Ward,radiologyandophthalmologyward@example.com,(951)318-4778x01597,157409,836168
Radiology and Surgery Department,radiologyandsurgerydepartment@example.com,(608)372-5975,83991,1219734
Endocrinology Center,endocrinologycenter@example.com,859.282.2790,111446,1774680
Infectious Diseases and Hematology Ward,infectiousdiseasesandhematologyward@example.com,001-596-886-2510,52147,573480
Pediatrics and Oncology Center,pediatricsandoncologycenter@example.com,813-411-5115x862,178138,713304
Radiology and Ophthalmology Unit,radiologyandophthalmologyunit@example.com,262-494-6905x084,113560,1646159
Pathology and Neonatology Clinic,pathologyandneonatologyclinic@example.com,+1-260-597-5818,96537,1818737
Orthopedics and Endocrinology Institute,orthopedicsandendocrinologyinstitute@example.com,854.284.4730x131,153135,704384
Oncology and Neonatology Clinic,oncologyandneonatologyclinic@example.com,+1-582-305-3445x4209,169534,534312
Neonatology and Ophthalmology Institute,neonatologyandophthalmologyinstitute@example.com,280-244-3375x55356,109223,1326618
Neurology Unit,neurologyunit@example.com,697-843-4484x9869,64349,958322
Orthopedics Division,orthopedicsdivision@example.com,001-664-733-9557x2871,149151,690365
Surgery and Gynecology Division,surgeryandgynecologydivision@example.com,6817090565,61580,1802448
Dermatology Unit,dermatologyunit@example.com,6877467506,139863,829547
Obstetrics and Urology Division,obstetricsandurologydivision@example.com,001-717-904-5426x31692,63190,1802608
Pediatrics and Hematology Center,pediatricsandhematologycenter@example.com,+1-807-578-2782x2934,184185,1481868
Dermatology and Rehabilitation Department,dermatologyandrehabilitationdepartment@example.com,+1-277-949-5146x57081,67114,1726562
Hematology and Oncology Division,hematologyandoncologydivision@example.com,(955)640-0916x72323,161199,1447091
Obstetrics Unit,obstetricsunit@example.com,+1-869-365-0737x565,93324,1167091
Rheumatology and Gynecology Department,rheumatologyandgynecologydepartment@example.com,5036522825,76614,503803
Anesthesiology Department,anesthesiologydepartment@example.com,642.786.7673x8843,136876,1126963
Pathology Ward,pathologyward@example.com,356.927.5073,72135,1808411
Gastroenterology and Trauma Unit,gastroenterologyandtraumaunit@example.com,001-614-660-5039,120353,1023240
Neonatology and Pathology Department,neonatologyandpathologydepartment@example.com,501-866-3949x5773,146179,1207063
Gynecology Division,gynecologydivision@example.com,405.342.5699x14664,79087,1605994
Immunology and Neonatology Ward,immunologyandneonatologyward@example.com,850-669-1043,53939,1093576
Anesthesiology Unit,anesthesiologyunit@example.com,844-800-0907x65243,193845,889808
Pediatrics and Trauma Center,pediatricsandtraumacenter@example.com,864-947-3780x1826,74994,857871
Pathology and Oncology Department,pathologyandoncologydepartment@example.com,001-567-438-0522,100892,517935
Infectious Diseases and Pulmonology Unit,infectiousdiseasesandpulmonologyunit@example.com,(287)314-8858x644,118642,913467
Ophthalmology Ward,ophthalmologyward@example.com,+1-213-691-7741,123157,1971958
Trauma and Urology Center,traumaandurologycenter@example.com,(956)619-4354x380,125337,1861426
Rheumatology and Psychiatry Institute,rheumatologyandpsychiatryinstitute@example.com,001-243-675-9750x9056,143376,548988
Obstetrics and Ophthalmology Division,obstetricsandophthalmologydivision@example.com,(733)995-9022x0939,181850,1160548
Surgery and Psychiatry Center,surgeryandpsychiatrycenter@example.com,(296)438-3037,145588,564387
Rheumatology and Pathology Center,rheumatologyandpathologycenter@example.com,5369923933,96517,918287
Emergency and Urology Institute,emergencyandurologyinstitute@example.com,957.726.2271,123218,1977519
Dermatology and Neurology Division,dermatologyandneurologydivision@example.com,(642)265-9640x32836,169785,1156471
Gastroenterology Unit,gastroenterologyunit@example.com,001-775-380-3996x28553,117049,751826
Anesthesiology and Neonatology Institute,anesthesiologyandneonatologyinstitute@example.com,685-865-6262,140799,1706190
Pulmonology and Gynecology Ward,pulmonologyandgynecologyward@example.com,(371)587-1512x862,187477,1629693
Oncology Division,oncologydivision@example.com,(952)500-0841x25095,157539,1764464
Immunology and Emergency Institute,immunologyandemergencyinstitute@example.com,502-817-9235x0754,78192,1664873
Anesthesiology and Hematology Clinic,anesthesiologyandhematologyclinic@example.com,001-835-596-5809x24183,152638,1959567
Gastroenterology and Nephrology Unit,gastroenterologyandnephrologyunit@example.com,(397)844-3629x5899,53304,1944036
Pediatrics and Pathology Division,pediatricsandpathologydivision@example.com,332-626-5180x8960,174955,1943506
